sexe;usage_vehicule;type_vehicule;est_rouge;type_conduite;formule;a_des_enfants;a_enfant_conduite_accompagnée;groupe_points_perdus;groupe_age_vehicule;Categorie_de_revenus;Nombre;tarif_intervalle
M;Private;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Commercial;z_SUV;no;z_Highly Rural/ Rural;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
M;Commercial;Minivan;no;Highly Urban/ Urban;dev_premium;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""400-500"""
F;Private;Van;yes;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
M;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
M;Commercial;Van;yes;z_Highly Rural/ Rural;dev_premium;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""non rensigné""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""400-500"""
M;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""non renseigné""";1;"""300-400"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Oui""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;Minivan;yes;z_Highly Rural/ Rural;dev_premium;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""400-500"""
F;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Commercial;Van;yes;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
M;Commercial;Pickup;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";3;"""200-300"""
M;Commercial;Van;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
M;Private;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""non rensigné""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
M;Private;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
M;Private;z_SUV;no;z_Highly Rural/ Rural;dev_premium;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
M;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""200-300"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_premium;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
F;Commercial;Sports Car;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
M;Commercial;Pickup;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""200-300"""
F;Commercial;Van;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
M;Private;Van;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
M;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";4;"""200-300"""
M;Commercial;Pickup;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Oui""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
M;Commercial;Pickup;yes;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
M;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
M;Private;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""200-300"""
M;Private;Minivan;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";3;"""300-400"""
M;Private;Sports Car;no;Highly Urban/ Urban;dev_premium;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""500-600"""
F;Private;Sports Car;no;z_Highly Rural/ Rural;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Private;Minivan;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";4;"""300-400"""
F;Private;Pickup;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Commercial;Pickup;yes;z_Highly Rural/ Rural;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
M;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""non renseigné""";1;"""300-400"""
F;Commercial;Panel Truck;yes;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""plus de 200k""""""""""""""""";1;"""200-300"""
M;Private;Pickup;no;Highly Urban/ Urban;dev_premium;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""500-600"""
M;Private;Pickup;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
M;Private;Pickup;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
M;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""non rensigné""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
M;Commercial;Van;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_premium;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""non rensigné""""""""";"""""""""""""""""50k -100k""""""""""""""""";2;"""500-600"""
F;Private;Minivan;yes;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Oui""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Private;Pickup;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
M;Commercial;Sports Car;no;z_Highly Rural/ Rural;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;Pickup;no;z_Highly Rural/ Rural;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Private;z_SUV;no;z_Highly Rural/ Rural;dev_express;"""""""""Oui""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;Minivan;yes;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Oui""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""300-400"""
F;Private;Pickup;no;z_Highly Rural/ Rural;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;Sports Car;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""plus de 200k""""""""""""""""";1;"""200-300"""
M;Commercial;Pickup;yes;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""200-300"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_premium;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""400-500"""
F;Commercial;Panel Truck;yes;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Commercial;Minivan;no;z_Highly Rural/ Rural;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""200-300"""
M;Commercial;Sports Car;yes;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
M;Private;Minivan;no;z_Highly Rural/ Rural;dev_premium;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""400-500"""
M;Private;Sports Car;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Oui""""";"""""moins de 3""""";"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Private;Pickup;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
M;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
M;Private;Minivan;yes;Highly Urban/ Urban;dev_premium;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;z_SUV;no;z_Highly Rural/ Rural;dev_express;"""""""""Oui""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""200-300"""
M;Private;Pickup;yes;z_Highly Rural/ Rural;dev_integral;"""""""""Oui""""""""";"""""Oui""""";0;"""""""""5-10""""""""";"""non renseigné""";1;"""300-400"""
F;Private;Van;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
F;Private;z_SUV;no;z_Highly Rural/ Rural;dev_integral;"""""""""Oui""""""""";"""""Oui""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Private;Sports Car;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Commercial;Pickup;no;z_Highly Rural/ Rural;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";3;"""200-300"""
F;Private;Minivan;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";3;"""300-400"""
F;Commercial;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Private;z_SUV;no;z_Highly Rural/ Rural;dev_premium;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""400-500"""
F;Private;Pickup;yes;Highly Urban/ Urban;dev_vip;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""600-700"""
M;Private;Minivan;yes;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Oui""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
M;Private;Sports Car;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
M;Commercial;Van;yes;z_Highly Rural/ Rural;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Commercial;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
M;Private;Sports Car;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""200-300"""
M;Commercial;Pickup;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
M;Commercial;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Private;Sports Car;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Oui""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""200-300"""
M;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
M;Commercial;Sports Car;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
M;Private;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
M;Commercial;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
M;Commercial;Van;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
M;Private;z_SUV;no;Highly Urban/ Urban;dev_premium;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""non rensigné""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""400-500"""
F;Commercial;Panel Truck;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""200-300"""
M;Private;Sports Car;no;z_Highly Rural/ Rural;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_vip;"""""""""Oui""""""""";"""""Oui""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""600-700"""
M;Commercial;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Private;Sports Car;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
M;Commercial;Panel Truck;no;z_Highly Rural/ Rural;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""non renseigné""";1;"""200-300"""
M;Commercial;Panel Truck;yes;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
M;Private;Pickup;yes;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Commercial;Pickup;yes;z_Highly Rural/ Rural;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""300-400"""
F;Private;Van;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";3;"""200-300"""
M;Commercial;z_SUV;no;z_Highly Rural/ Rural;dev_premium;"""""""""Oui""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""400-500"""
M;Commercial;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;Minivan;no;z_Highly Rural/ Rural;dev_premium;"""""""""Oui""""""""";"""""Non""""";0;"""""""""0-5ans""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""500-600"""
M;Commercial;z_SUV;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""200-300"""
M;Private;Minivan;yes;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""non rensigné""""""""";"""non renseigné""";1;"""300-400"""
F;Private;Minivan;yes;z_Highly Rural/ Rural;dev_integral;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
F;Private;Minivan;no;z_Highly Rural/ Rural;dev_express;"""""""""Non""""""""";"""""Non""""";0;"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
M;Private;Sports Car;no;Highly Urban/ Urban;dev_premium;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""400-500"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Oui""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""200-300"""
M;Private;Minivan;yes;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""non rensigné""""""""";"""non renseigné""";1;"""300-400"""
M;Commercial;Panel Truck;no;z_Highly Rural/ Rural;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""0-5ans""""""""";"""""""""""""""""Moins de 10 K""""""""""""""""";1;"""300-400"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""non rensigné""""""""";"""""""""""""""""50k -100k""""""""""""""""";2;"""200-300"""
M;Private;z_SUV;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""200-300"""
F;Private;z_SUV;no;Highly Urban/ Urban;dev_premium;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""400-500"""
M;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Non""""";0;"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
M;Private;Minivan;yes;Highly Urban/ Urban;dev_integral;"""""""""Oui""""""""";"""""Oui""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""50k -100k""""""""""""""""";1;"""300-400"""
F;Private;Minivan;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";0;"""""""""non rensigné""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
M;Private;Minivan;no;Highly Urban/ Urban;dev_express;"""""""""Oui""""""""";"""""Non""""";"""""moins de 3""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""200-300"""
M;Commercial;Van;yes;Highly Urban/ Urban;dev_express;"""""""""Non""""""""";"""""Non""""";"""""moins de 3""""";"""""""""5-10""""""""";"""""""""""""""""100k - 200k""""""""""""""""";1;"""200-300"""
M;Commercial;Van;no;Highly Urban/ Urban;dev_integral;"""""""""Non""""""""";"""""Non""""";"""""3 ou plus""""";"""""""""10 ans et plus""""""""";"""""""""""""""""100k - 200k""""""""""""""""";2;"""300-400"""
